,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
ADP UW Equity,AUTOMATIC DATA PROCESSING,US,USD,Industrials,Commercial & Professional Serv,Professional Services,Human Resource & Employment Se,1.02863E+11
ADSK UQ Equity,AUTODESK INC,US,USD,Information Technology,Software & Services,Software,Application Software,63892560000
ADSK UW Equity,AUTODESK INC,US,USD,Information Technology,Software & Services,Software,Application Software,63892560000
AEE UN Equity,AMEREN CORPORATION,US,USD,Utilities,Utilities,Multi-Utilities,Multi-Utilities,28678410000
AEP UN Equity,AMERICAN ELECTRIC POWER,US,USD,Utilities,Utilities,Electric Utilities,Electric Utilities,65546751194
AEP UW Equity,AMERICAN ELECTRIC POWER,US,USD,Utilities,Utilities,Electric Utilities,Electric Utilities,65544080722
AES UN Equity,AES CORP,US,USD,Utilities,Utilities,Independent Power and Renewabl,Independent Power Producers &,9905602331
AET UN Equity,AETNA INC,US,USD,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Managed Health Care,#N/A N/A
AFL UN Equity,AFLAC INC,US,USD,Financials,Insurance,Insurance,Life & Health Insurance,57940793524
AGK LN Equity,AGGREKO LTD,GB,GBp,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Diversified Support Services,#N/A N/A
AGN UN Equity,ALLERGAN UNLTD CO,US,USD,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,#N/A N/A
AHT LN Equity,ASHTEAD GROUP PLC,GB,GBp,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo,20101296288
AIG UN Equity,AMERICAN INTERNATIONAL GROUP,US,USD,Financials,Insurance,Insurance,Property & Casualty Insurance,41029363146
AIV UN Equity,APARTMENT INVT & MGMT CO -A,US,USD,Real Estate,Equity Real Estate Investment,Residential REITs,Multi-Family Residential REITs,867574824.8
AIZ UN Equity,ASSURANT INC,US,USD,Financials,Insurance,Insurance,Property & Casualty Insurance,11444535257
AJG UN Equity,ARTHUR J GALLAGHER & CO,US,USD,Financials,Insurance,Insurance,Insurance Brokers,63819936000
AKAM UW Equity,AKAMAI TECHNOLOGIES INC,US,USD,Information Technology,Software & Services,IT Services,Internet Services & Infrastruc,12868745450
AKS UN Equity,CLEVELAND-CLIFFS STEEL HOLDI,US,USD,Materials,Materials,Metals & Mining,Steel,#N/A N/A
AL/ LN Equity,ALLIANCE & LEICESTER PLC,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ALB UN Equity,ALBEMARLE CORP,US,USD,Materials,Materials,Chemicals,Specialty Chemicals,14936994801
ALGN UW Equity,ALIGN TECHNOLOGY INC,US,USD,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Supplies,10563751764
ALK UN Equity,ALASKA AIR GROUP INC,US,USD,Industrials,Transportation,Passenger Airlines,Passenger Airlines,4930675939
ALL UN Equity,ALLSTATE CORP,US,USD,Financials,Insurance,Insurance,Property & Casualty Insurance,55965866890
ALLE UN Equity,ALLEGION PLC,IR,USD,Industrials,Capital Goods,Building Products,Building Products,14252913654
ALW LN Equity,ALLIANCE WITAN PLC,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4939589844
ALXN UW Equity,ALEXION PHARMACEUTICALS INC,US,USD,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,#N/A N/A
AMAT UQ Equity,APPLIED MATERIALS INC,US,USD,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Materials & Equi,1.99137E+11
AMAT UW Equity,APPLIED MATERIALS INC,US,USD,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Materials & Equi,1.99137E+11
AMCC UQ Equity,APPLIED MICRO CIRCUITS CORP,US,USD,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,#N/A N/A
